x_meters,y_meters
0.008406569834252154,-0.02397944064677757
0.001370926888445415,-0.01781294558658915
-0.002450934234174304,-0.009325717760199647
-0.0021148743468037074,2.622687707412687e-06
0.00233491816458933,0.008379939989389231
0.009691372248698649,0.014037317551504473
0.018912887219604168,0.016175726196448338
0.028023196470786483,0.014417950420509577
0.035619337972798766,0.008816422328983773
0.04043299610256322,0.0007061623902547118
0.04100057232408159,-0.008516248979628736
0.03698532766288471,-0.016934009886071393
0.029885606611358372,-0.02326960443639953
0.021035968634274954,-0.026435049598698725
0.027860755078788973,-0.021874956214239367
0.03498235784092091,-0.015654616798584067
0.038869930802067826,-0.007198608624624423
0.0374719894075819,0.002331955321714499
0.031203978823394235,-0.0018058391795354692
0.023242817473689087,0.0036208417129050185
0.025961791184252805,0.012028833507340192
0.017363030391711793,0.013355762938196916
0.008525081088648618,0.010631635900077046
0.0023753513043307433,0.0035871699864382708
-0.0004516543154010612,-0.005378859633023323
0.0018608025176606213,-0.014316639091876275
0.008197248124448669,-0.021190648564112707
0.01714276600737403,-0.02403662966978402
0.026425630725456867,-0.022592410018708795
0.07903987145603007,-0.02217805527895051
0.08732789193573463,-0.017623396498674507
0.09562200933829268,-0.012660808558237324
0.09534125747143518,-0.006362332940637579
0.08468190596996496,-0.005364534515073065
0.0754483967516468,-0.005379867666052871
0.06612423715290199,-0.005750314259969173
0.0617671831375035,-0.014042496940568753
0.06323593563769493,-0.023108151262920644
0.07107500333553672,-0.026320297406857165
